Task ID,TF1,TF2,TF3,TF4,TF5,TF6,TF7,TF8,TF9,TF10,TF11,TF12,TF13,TF14,TF15,TF16,TF17,TF18,TF19,TF20,TF21,TF22,TF23,TF24,TF25,TF26,TF27,TF28,TF29,TF30,TF31,TF32,TF33,TF34,TF35,TF36,TF37,TF38,TF39,TF40,TF41,TF42,TF43,TF44,TF45,TF46,TF47,TF48,TF49,TF50,TF51,TF52,TF53,TF54,TF55,TF56,TF57,TF58,TF59,TF60,TF61,TF62,TF63,TF64,TF65,TF66,TF67,TF68,TF69,TF70,TF71,TF72,TF73,TF74,TF75,TF76,TF77,TF78,TF79,TF80,TF81,TF82,TF83,TF84,TF85,TF86,TF87,TF88,TF89,TF90,TF91,TF92,TF93,TF94,TF95,TF96,TF97,TF98,TF99,TF100,TF101,TF102,TF103,TF104,TF105,TF106,TF107,TF108,TF109,TF110,TF111,TF112,TF113,TF114,TF115,TF116
T1,332,5123,647174452,2111,41.2063244192855%,140069227,22%,1438,0.280694905328908,154237601,0.24,1216,0.237360921335155,117762853,0.18,1299.17,203.39,-0.268212097542316,2100,41.0,100.36,25.21,143,4525695.47,8379695.47,72229420,21187,35.8251748251748,65.9640656214752,397,1,10.1600624634003,15.863304377313,75,1,468,50685398,0.09,0.08,4009,438112430,0.78,0.68,775,109480953,0.15,0.17,3702,379316875,0.72,0.59,646,0.13,158376624,0.24,4477,0.87,488797828,0.76,1930,0.43,197918864,0.4,0.57,290878964,0.6,1.87,6.26,3,28,-62,91.32,79.92,419,0,7638374.59,8838286.91,68607119,0,44,220.86,166.52,561,0,20338223.87,16463426.25,73331323,0,85.38,130.79,494,0,7632633.87,12022807.28,49415865,0,163.66,139.99,553,0,15088047.76,14958304.97,73331323,0,0.57,4.06,50,0,93828.91,759621.99,12264068,0,382,0.0745656841694319,28150864,0.04
T2,0,5792,327432022,1619,27.9523480662983%,105875589,32%,1097,0.189399171270718,71537962,0.22,874,0.150897790055248,51768065,0.16,1527.26,396.94,0.505234449059652,2200,65.0,70.88,53.44,124,2640580.82,4955210.28,35757503,5188,46.7096774193548,96.3364509181485,820,1,14.6830110497237,17.7007590921349,80,1,390,34821718,0.07,0.11,3201,222406761,0.55,0.68,681,54218703,0.12,0.17,2910,203009776,0.5,0.62,2201,0.38,70203543,0.21,3591,0.62,257228479,0.79,1432,0.4,92868700,0.36,0.6,164359779,0.64,3.38,4.97,3,32,-30,147.39,182.46,682,0,6775492.17,7433930.31,36767567,0,12,285.31,289.46,921,0,14626753.34,13448381.94,54133230,0,214.86,306.43,902,0,10136116.61,13629582.06,52238577,0,211.37,218.16,867,0,10488108.48,10218672.6,49219372,0,32.31,109.26,875,0,924983.41,3294170.58,29172807,0,552,0.0953038674033149,28894396,0.09
T3,469,4346,547810586,1376,31.6612977450529%,90478530,17%,1097,0.252416014726185,122674168,0.22,834,0.191900598251265,95043161,0.17,1345.7,218.69,-0.364255802499102,2100,757.0,83.51,40.54,144,3804240.18,7891026.04,67729733,16821,30.1805555555555,55.1410971806927,311,1,9.72756557754256,14.8858289253535,75,1,328,35221874,0.08,0.06,2930,348862971,0.67,0.64,612,91773248,0.14,0.17,2646,292311597,0.61,0.53,1088,0.25,163725741,0.3,3258,0.75,384084845,0.7,1442,0.44,152921146,0.4,0.56,231163699,0.6,-11.36,39.99,3,23,-121,85.87,93.76,388,0,5408929.39,5973637.45,45018815,0,44,181.9,144.28,527,0,13134287.94,11332584.52,51132098,0,62.75,102.19,464,0,5044834.55,9352680.54,44732751,0,139.55,125.03,393,0,9743849.45,9122217.84,49212552,0,5.25,26.07,394,0,258487.96,1781016.69,39064840,0,706,0.162448228255867,19579305,0.04
T4,529,7132,700169181,2362,33.1183398766124%,149526281,21%,1474,0.206674144699943,155655199,0.22,1264,0.177229388670779,119950245,0.17,1505.02,390.81,0.585401607106019,2200,41.0,69.69,50.37,146,4795679.32,9312900.7,72209536,6668,48.8493150684931,112.615570826733,1039,1,12.5588895120583,14.6646917998559,75,1,470,50030880,0.07,0.07,3932,434213355,0.55,0.62,793,110957301,0.11,0.16,3609,373286934,0.51,0.53,2730,0.38,215924946,0.31,4402,0.62,484244235,0.69,1889,0.43,197124000,0.41,0.57,287120235,0.59,2.84,5.75,3,28,-62,182.28,221.48,695,0,8487029.85,8698222.69,66713288,0,51,357.24,362.71,1134,0,19814710.92,15549393.64,71540084,0,244.92,366.52,1114,0,10575493.3,13207831.29,45635766,0,261.69,267.44,988,0,14509089.56,13443310.09,71540084,0,23.7,89.43,997,0,640011.29,2434120.9,29710103,0,371,0.0520190689848569,22272333,0.03
T5,0,4767,278792402,1215,25.4877281308999%,87557248,31%,1038,0.217747010698552,62825715,0.23,820,0.172015942941053,48328267,0.17,1484.76,385.65,0.649069112589556,2200,59.0,76.67,51.87,127,2195215.76,3973703.0,23271139,10738,37.5354330708661,67.0147810366513,556,1,12.5802391441157,16.2181484121997,80,1,340,27055689,0.07,0.1,2752,195701149,0.58,0.7,617,47627110,0.13,0.17,2475,175129728,0.52,0.63,1675,0.35,56035564,0.2,3092,0.65,222756838,0.8,1235,0.4,79490099,0.36,0.6,143266739,0.64,5.37,9.02,5,473,-26,94.8,111.35,468,0,5145749.78,5418148.01,25093238,0,16,190.98,176.0,609,0,11100320.8,10305724.0,40795750,0,130.09,186.98,585,0,6991655.95,10192025.87,39366902,0,140.56,131.96,557,0,7976711.08,7688253.83,37041878,0,18.98,71.28,567,0,625549.93,2506860.98,22039095,0,93,0.0195091252359974,3058291,0.01
T6,12,3364,184806910,486,14.4470868014268%,33494261,18%,888,0.263971462544589,58465109,0.32,593,0.176278240190249,34055013,0.18,1515.39,431.19,0.450922994270728,2200,757.0,70.34,54.59,102,1811832.45,2710311.8,16021467,8271,32.9803921568627,68.7264602929551,556,1,13.0217003567181,15.0457861608994,75,1,246,21753987,0.07,0.12,1721,108904764,0.51,0.59,411,31453263,0.12,0.17,1556,99205488,0.46,0.54,1397,0.42,54148159,0.29,1967,0.58,130658751,0.71,1073,0.55,66749611,0.51,0.45,63909140,0.49,3.29,4.34,3,23,-16,108.33,132.54,432,0,4519923.28,4689367.16,15911792,0,15,222.81,225.98,658,0,10463678.26,9231458.06,30519726,0,165.3,233.61,635,0,6830042.13,8338612.27,21412624,0,159.78,168.96,611,0,7165066.21,6090561.73,20712275,0,20.17,66.46,618,0,634810.7,2153207.49,21161639,0,308,0.0915576694411414,15390630,0.08
T7,555,3934,521676289,1039,26.4107778342653%,69762831,13%,943,0.239705134722928,112768389,0.22,682,0.173360447381799,85212722,0.16,1356.06,219.09,-0.437684418829658,2100,757.0,80.34,41.15,140,3726259.21,7889494.9,67790707,16821,28.1,49.3746942436576,311,1,8.84239959328927,14.2283892340359,75,1,307,33841260,0.08,0.06,2543,324047367,0.65,0.62,608,90652616,0.15,0.17,2242,267236011,0.57,0.51,1084,0.28,163787662,0.31,2850,0.72,357888627,0.69,1279,0.45,143706168,0.4,0.55,214182459,0.6,-13.67,41.82,2,22,-122,78.76,94.16,388,0,5055143.9,5994733.85,45068730,0,46,160.74,140.48,527,0,11676606.79,10860072.02,51132098,0,52.83,94.78,464,0,4186422.49,8628154.87,44732751,0,123.26,118.05,393,0,8752099.22,8664591.29,48980163,0,5.8,27.35,394,0,285558.89,1869912.3,39064840,0,757,0.19242501270971,24164620,0.05
T8,543,3939,521462429,1034,26.2503173394262%,69043102,13%,946,0.24016247778624,112616281,0.22,676,0.171617161716171,84662569,0.16,1355.29,219.76,-0.439654502344079,2100,757.0,80.45,41.19,142,3672270.63,7841822.18,67815206,16821,27.7394366197183,49.047332700876,311,1,8.88296521959888,14.4095491214243,75,1,308,33795004,0.08,0.06,2545,323799599,0.65,0.62,609,90599275,0.15,0.17,2244,266995328,0.57,0.51,1086,0.28,163867826,0.31,2853,0.72,357594603,0.69,1282,0.45,143883446,0.4,0.55,213711157,0.6,-13.67,41.79,2,22,-122,78.53,94.05,388,0,5026507.49,5987746.73,45093472,0,46,160.61,140.58,527,0,11654769.13,10871065.53,51132098,0,53.1,95.34,464,0,4183640.76,8635529.45,44732751,0,123.11,117.84,393,0,8728948.92,8665646.68,49021222,0,5.79,27.33,394,0,285196.41,1868752.49,39064840,0,736,0.186849454176186,22131127,0.04
T9,1,6187,318294755,1354,21.8845967350897%,68893297,22%,1403,0.226765799256505,97913418,0.31,946,0.152901244545013,54277413,0.17,1531.59,420.72,0.431731414364581,2200,757.0,68.51,54.69,120,2652456.29,5007841.77,31984898,2091,51.5583333333333,130.346777033086,1282,1,15.6545983513819,18.0600574971045,80,0,365,30671412,0.06,0.1,3164,203695062,0.51,0.64,751,54975537,0.12,0.17,2778,179390937,0.45,0.56,2658,0.43,83928281,0.26,3529,0.57,234366474,0.74,1728,0.49,113685629,0.49,0.51,120680845,0.51,3.6,4.82,3,27,-38,224.2,290.04,904,0,8310996.31,8480739.5,31162860,0,18,398.95,428.22,1218,0,17313744.16,16036706.17,56464910,0,329.99,449.19,1218,0,12977147.94,14904146.0,46444204,0,288.68,319.84,1135,0,11483025.46,9966227.38,36313855,0,43.41,164.4,926,0,1194896.89,4604756.55,29023894,0,454,0.0733796670438015,16180687,0.05
T10,579,4025,526384741,991,24.6211180124223%,66444406,13%,981,0.243726708074534,115397351,0.22,709,0.176149068322981,87028376,0.17,1352.18,219.0,-0.411237427788394,2100,757.0,81.03,40.99,141,3733225.11,7855908.41,67815206,16821,28.5460992907801,50.0506136935837,311,1,8.52521739130434,13.6567158308645,75,1,321,36742504,0.08,0.07,2611,325350295,0.65,0.62,620,92689009,0.15,0.18,2312,269403790,0.57,0.51,1093,0.27,164291942,0.31,2932,0.73,362092799,0.69,1342,0.46,148178888,0.41,0.54,213913911,0.59,-13.04,41.54,3,22,-122,79.74,93.73,388,0,5035638.87,5950599.57,45143895,0,45,163.09,140.29,527,0,11826257.13,10824459.0,51132098,0,50.73,91.87,464,0,4030893.69,8400715.12,44732751,0,125.71,120.0,393,0,8888568.26,8799393.25,49034812,0,5.67,27.05,394,0,279102.77,1849135.42,39064840,0,697,0.173167701863354,19630017,0.04
